time,animal,pellets,motorTurns,battery,delay,protocol
1663675411,413,01,01,04,15,baseline
1663675472,413,01,01,04,15,baseline
1663675505,413,02,00,04,15,baseline
1663675693,413,01,01,04,15,baseline
1663675758,413,01,01,04,15,baseline
1663676527,413,01,01,04,15,baseline
1663676634,413,01,01,04,15,baseline
1663676706,413,02,21,04,15,baseline
1663677166,413,01,01,04,01,baseline
1663677254,413,02,35,04,01,baseline
1663677265,413,03,04,04,01,baseline
1663677274,413,04,03,04,01,baseline
1663677286,413,05,05,04,01,baseline
1663677306,413,06,06,04,01,baseline
1663677317,413,07,05,04,01,baseline
1663677328,413,08,03,04,01,baseline
1663677336,413,09,03,04,01,baseline
1663677349,413,10,05,04,01,baseline
1663677356,413,11,02,04,01,baseline
1663677366,413,12,03,04,01,baseline
1663677376,413,13,03,04,01,baseline
1663677397,413,14,09,04,01,baseline
1663677461,413,15,24,04,01,baseline
1663677520,413,16,06,04,01,baseline
1663677534,413,17,03,04,01,baseline
1663677547,413,18,05,04,01,baseline
1663677555,413,19,02,04,01,baseline
1663677563,413,20,02,04,01,baseline
1663677572,413,21,03,04,01,baseline
1663677579,413,22,02,04,01,baseline
1663677589,413,23,03,04,01,baseline
1663677599,413,24,04,04,01,baseline
1663677608,413,25,02,04,01,baseline
1663677617,413,26,03,04,01,baseline
1663677625,413,27,02,04,01,baseline
1663677640,413,28,03,04,01,baseline
1663677652,413,29,05,04,01,baseline
1663677662,413,30,03,04,01,baseline
1663677670,413,31,02,04,01,baseline
1663677678,413,32,02,04,01,baseline
1663677685,413,33,02,04,01,baseline
1663677693,413,34,02,04,01,baseline
1663677701,413,35,02,04,01,baseline
1663677709,413,36,02,04,01,baseline
1663677717,413,37,02,04,01,baseline
1663677727,413,38,04,04,01,baseline
1663677735,413,39,02,04,01,baseline
1663677743,413,40,02,04,01,baseline
1663677751,413,41,02,04,01,baseline
1663677759,413,42,02,04,01,baseline
1663677768,413,43,03,04,01,baseline
1663677776,413,44,02,04,01,baseline
1663677785,413,45,03,04,01,baseline
1663677795,413,46,03,04,01,baseline
1663677802,413,47,02,04,01,baseline
1663677812,413,48,03,04,01,baseline
1663677821,413,49,03,04,01,baseline
1663677853,413,50,13,04,01,baseline
1663677862,413,51,03,04,01,baseline
1663677872,413,52,03,04,01,baseline
1663677882,413,53,03,04,01,baseline
1663677890,413,54,03,04,01,baseline
1663677899,413,55,02,04,01,baseline
1663677906,413,56,02,04,01,baseline
1663677914,413,57,02,04,01,baseline
1663677922,413,58,02,04,01,baseline
1663677931,413,59,03,04,01,baseline
1663677946,413,60,06,04,01,baseline
1663677954,413,61,02,04,01,baseline
1663677963,413,62,03,04,01,baseline
1663677972,413,63,02,04,01,baseline
1663678008,413,64,15,04,01,baseline
1663678031,413,65,09,04,01,baseline
1663678075,413,66,17,04,01,baseline
1663678085,413,67,02,04,01,baseline
1663678093,413,68,02,04,01,baseline
1663678101,413,69,02,04,01,baseline
1663678110,413,70,03,04,01,baseline
1663678118,413,71,02,04,01,baseline
1663678127,413,72,03,04,01,baseline
1663678137,413,73,03,04,01,baseline
1663678146,413,74,03,04,01,baseline
1663678155,413,75,03,04,01,baseline
1663678163,413,76,02,04,01,baseline
1663678172,413,77,03,04,01,baseline
1663678180,413,78,02,04,01,baseline
1663678189,413,79,03,04,01,baseline
1663678199,413,80,03,04,01,baseline
1663678208,413,81,03,04,01,baseline
1663678220,413,82,05,04,01,baseline
1663678228,413,83,02,04,01,baseline
1663678243,413,84,06,04,01,baseline
1663678251,413,85,02,04,01,baseline
1663678260,413,86,03,04,01,baseline
1663678269,413,87,03,04,01,baseline
1663678292,413,88,09,04,01,baseline
1663678309,413,89,07,04,01,baseline
1663678319,413,90,03,04,01,baseline
1663678346,413,91,11,04,01,baseline
1663678354,413,92,02,04,01,baseline
1663678362,413,93,02,04,01,baseline
1663678371,413,94,03,04,01,baseline
1663678379,413,95,02,04,01,baseline
1663678386,413,96,02,04,01,baseline
1663678394,413,97,02,04,01,baseline
1663678402,413,98,02,04,01,baseline
1663678412,413,99,03,04,01,baseline
1663678420,413,100,02,04,01,baseline
1663770280,413,01,01,04,01,baseline
1663845885,413,01,01,04,01,baseline
1663866349,413,02,7270,04,01,baseline
1663895427,413,03,9714,04,01,baseline
1663903826,413,04,00,04,01,baseline
1663934404,413,05,00,04,01,baseline
1663935464,413,06,422,04,01,baseline
1663939014,413,07,1412,04,01,baseline
1663942101,413,08,1226,04,01,baseline
1663946621,413,09,1790,04,01,baseline
1663946874,413,10,100,04,01,baseline
1663946912,413,11,15,04,01,baseline
1663952261,413,12,2112,04,01,baseline
1663952291,413,13,12,04,01,baseline
1663952334,413,14,17,04,01,baseline
1663955734,413,15,1338,04,01,baseline
1663960602,413,16,1911,04,01,baseline
1663960635,413,17,13,04,01,baseline
1663960783,413,18,58,04,01,baseline
1663960964,413,19,71,04,01,baseline
1663960992,413,20,11,04,01,baseline
1663961717,413,21,284,04,01,baseline
1663961745,413,22,11,04,01,baseline
1663968428,413,23,2612,04,01,baseline
1663968459,413,24,12,04,01,baseline
1663968489,413,25,13,04,01,baseline
1663968493,413,26,01,04,01,baseline
1663971112,413,27,1021,04,01,baseline
1663971152,413,28,15,04,01,baseline
1663971175,413,29,09,04,01,baseline
1663971203,413,30,11,04,01,baseline
1663971239,413,31,14,04,01,baseline
1663971266,413,32,12,04,01,baseline
1663974801,413,33,1375,04,01,baseline
1663974842,413,34,16,04,01,baseline
1663974886,413,35,17,04,01,baseline
1663975174,413,36,112,04,01,baseline
1663975210,413,37,14,04,01,baseline
1663975338,413,38,50,04,01,baseline
1663975367,413,39,11,04,01,baseline
1663976049,413,40,265,04,01,baseline
1663976077,413,41,11,04,01,baseline
1664020805,413,42,593,04,01,baseline
1664021804,413,43,398,04,01,baseline
1664021834,413,44,12,04,01,baseline
1664021861,413,45,11,04,01,baseline
1664021888,413,46,11,04,01,baseline
1664021923,413,47,15,04,01,baseline
1664021927,413,48,01,04,01,baseline
