time,ID,count,protocol
1670339271,00,01,locomotor
1670339281,00,02,locomotor
1670339293,00,03,locomotor
1670339304,00,04,locomotor
1670339310,00,05,locomotor
1670339321,00,06,locomotor
1670339327,00,07,locomotor
1670339334,00,08,locomotor
1670339345,00,09,locomotor
1670339351,00,10,locomotor
1670339362,00,11,locomotor
1670339368,00,12,locomotor
1670339379,00,13,locomotor
1670339386,00,14,locomotor
1670339392,00,15,locomotor
1670339399,00,16,locomotor
1670339405,00,17,locomotor
1670339412,00,18,locomotor
1670339428,00,19,locomotor
1670339434,00,20,locomotor
1670339450,00,21,locomotor
1670339461,00,22,locomotor
1670339472,00,23,locomotor
1670339483,00,24,locomotor
1670339490,00,25,locomotor
1670339497,00,26,locomotor
1670339505,00,27,locomotor
1670339512,00,28,locomotor
1670339519,00,29,locomotor
1670339527,00,30,locomotor
1670339540,00,31,locomotor
1670339546,00,32,locomotor
1670339557,00,33,locomotor
1670339565,00,34,locomotor
1670339576,00,35,locomotor
1670339600,00,36,locomotor
1670339606,00,37,locomotor
1670339624,00,38,locomotor
1670339629,00,39,locomotor
1670339636,00,40,locomotor
1670339646,00,41,locomotor
1670339667,00,42,locomotor
1670339678,00,43,locomotor
1670339705,00,44,locomotor
1670339716,00,45,locomotor
1670339743,00,46,locomotor
1670339754,00,47,locomotor
1670339763,00,48,locomotor
1670339769,00,49,locomotor
1670339775,00,50,locomotor
1670339797,00,51,locomotor
1670339807,00,52,locomotor
1670339815,00,53,locomotor
1670339839,00,54,locomotor
1670339845,00,55,locomotor
1670339859,00,56,locomotor
1670339873,00,57,locomotor
1670339879,00,58,locomotor
1670339892,00,59,locomotor
1670339898,00,60,locomotor
1670339904,00,61,locomotor
1670339946,00,62,locomotor
1670339952,00,63,locomotor
1670339959,00,64,locomotor
1670339967,00,65,locomotor
1670339973,00,66,locomotor
1670340001,00,67,locomotor
1670340008,00,68,locomotor
1670340020,00,69,locomotor
1670340028,00,70,locomotor
1670340049,00,71,locomotor
