time,ID,count,protocol
1669899899,414,01,locomotor
1669899939,414,02,locomotor
1669899952,414,03,locomotor
1669900010,414,04,locomotor
1669900020,414,05,locomotor
1669900033,414,06,locomotor
1669900043,414,07,locomotor
1669900053,414,08,locomotor
1669900061,414,09,locomotor
1669900069,414,10,locomotor
1669900075,414,11,locomotor
1669900087,414,12,locomotor
1669900092,414,13,locomotor
1669900098,414,14,locomotor
1669900112,414,15,locomotor
1669900123,414,16,locomotor
1669900132,414,17,locomotor
1669900142,414,18,locomotor
1669900148,414,19,locomotor
1669900155,414,20,locomotor
1669900166,414,21,locomotor
1669900179,414,22,locomotor
1669900186,414,23,locomotor
1669900198,414,24,locomotor
1669900210,414,25,locomotor
1669900221,414,26,locomotor
1669900240,414,27,locomotor
1669900252,414,28,locomotor
1669900266,414,29,locomotor
1669900283,414,30,locomotor
1669900306,414,31,locomotor
1669900320,414,32,locomotor
1669900326,414,33,locomotor
1669900333,414,34,locomotor
1669900346,414,35,locomotor
1669900354,414,36,locomotor
1669900360,414,37,locomotor
1669900374,414,38,locomotor
1669900386,414,39,locomotor
1669900398,414,40,locomotor
1669900419,414,41,locomotor
1669900425,414,42,locomotor
1669900443,414,43,locomotor
1669900463,414,44,locomotor
1669900471,414,45,locomotor
1669900480,414,46,locomotor
1669900501,414,47,locomotor
1669900530,414,48,locomotor
1669900537,414,49,locomotor
1669900544,414,50,locomotor
1669900553,414,51,locomotor
1669900567,414,52,locomotor
1669900575,414,53,locomotor
1669900588,414,54,locomotor
1669900605,414,55,locomotor
1669900613,414,56,locomotor
1669900667,414,57,locomotor
1669900673,414,58,locomotor
1669900689,414,59,locomotor
1669900695,414,60,locomotor
1669900723,414,61,locomotor
1669900746,414,62,locomotor
1669900770,414,63,locomotor
1669900784,414,64,locomotor
1669900794,414,65,locomotor
1669900820,414,66,locomotor
1669900835,414,67,locomotor
1669900862,414,68,locomotor
1669900878,414,69,locomotor
1669900907,414,70,locomotor
1669900916,414,71,locomotor
1669900927,414,72,locomotor
1669900950,414,73,locomotor
1669900970,414,74,locomotor
1669900982,414,75,locomotor
1669900988,414,76,locomotor
1669900997,414,77,locomotor
1669901010,414,78,locomotor
1669901020,414,79,locomotor
1669901035,414,80,locomotor
1669901051,414,81,locomotor
1669901062,414,82,locomotor
1669901070,414,83,locomotor
1669901100,414,84,locomotor
1669901110,414,85,locomotor
1669901128,414,86,locomotor
1669901174,414,87,locomotor
1669901181,414,88,locomotor
1669901191,414,89,locomotor
1669901203,414,90,locomotor
1669901209,414,91,locomotor
1669901220,414,92,locomotor
1669901244,414,93,locomotor
1669901268,414,94,locomotor
1669901285,414,95,locomotor
1669901291,414,96,locomotor
1669901298,414,97,locomotor
1669901313,414,98,locomotor
1669901323,414,99,locomotor
1669901342,414,100,locomotor
1669901367,414,101,locomotor
1669901378,414,102,locomotor
1669901442,414,103,locomotor
1669901455,414,104,locomotor
1669901461,414,105,locomotor
1669901485,414,106,locomotor
1669901495,414,107,locomotor
1669901504,414,108,locomotor
1669901513,414,109,locomotor
1669901525,414,110,locomotor
1669901535,414,111,locomotor
1669901542,414,112,locomotor
1669901548,414,113,locomotor
1669901581,414,114,locomotor
1669901849,414,115,locomotor
1669901855,414,116,locomotor
1669901877,414,117,locomotor
1669901883,414,118,locomotor
1669901911,414,119,locomotor
1669901921,414,120,locomotor
1669901973,414,121,locomotor
1669901984,414,122,locomotor
1669902007,414,123,locomotor
1669902040,414,124,locomotor
1669902069,414,125,locomotor
1669902079,414,126,locomotor
1669902086,414,127,locomotor
1669902103,414,128,locomotor
1669902128,414,129,locomotor
1669902178,414,130,locomotor
1669902185,414,131,locomotor
1669902194,414,132,locomotor
1669902206,414,133,locomotor
1669902214,414,134,locomotor
1669902220,414,135,locomotor
1669902233,414,136,locomotor
1669902284,414,137,locomotor
1669902298,414,138,locomotor
1669902307,414,139,locomotor
1669902313,414,140,locomotor
1669902327,414,141,locomotor
1669902363,414,142,locomotor
1669902370,414,143,locomotor
1669902379,414,144,locomotor
1669902386,414,145,locomotor
1669902398,414,146,locomotor
1669902442,414,147,locomotor
1669902455,414,148,locomotor
