1670076412,00,228,locomotor
1670076455,00,229,locomotor
1670076484,00,230,locomotor
1670076547,00,231,locomotor
1670076558,00,232,locomotor
1670076569,00,233,locomotor
1670076580,00,234,locomotor
1670076613,00,235,locomotor
1670076620,00,236,locomotor
1670076626,00,237,locomotor
1670076632,00,238,locomotor
1670076645,00,239,locomotor
1670076657,00,240,locomotor
1670076664,00,241,locomotor
1670076679,00,242,locomotor
1670076690,00,243,locomotor
1670076721,00,244,locomotor
1670076728,00,245,locomotor
1670076735,00,246,locomotor
1670076747,00,247,locomotor
1670076788,00,248,locomotor
1670076794,00,249,locomotor
1670076816,00,250,locomotor
1670076856,00,251,locomotor
1670076864,00,252,locomotor
1670076882,00,253,locomotor
1670076893,00,254,locomotor
1670076901,00,255,locomotor
1670076914,00,256,locomotor
1670076923,00,257,locomotor
1670076937,00,258,locomotor
1670076944,00,259,locomotor
1670076950,00,260,locomotor
1670076957,00,261,locomotor
1670076965,00,262,locomotor
1670076971,00,263,locomotor
1670076993,00,264,locomotor
1670076999,00,265,locomotor
1670077007,00,266,locomotor
1670077047,00,267,locomotor
1670077079,00,268,locomotor
1670077098,00,269,locomotor
1670077109,00,270,locomotor
1670077121,00,271,locomotor
1670077129,00,272,locomotor
1670077149,00,273,locomotor
1670077160,00,274,locomotor
1670077166,00,275,locomotor
1670077173,00,276,locomotor
1670077182,00,277,locomotor
1670077212,00,278,locomotor
1670077219,00,279,locomotor
1670077225,00,280,locomotor
1670077246,00,281,locomotor
1670077253,00,282,locomotor
1670077263,00,283,locomotor
1670077276,00,284,locomotor
1670077282,00,285,locomotor
1670077297,00,286,locomotor
1670077307,00,287,locomotor
1670077319,00,288,locomotor
1670077334,00,289,locomotor
1670077345,00,290,locomotor
1670077364,00,291,locomotor
1670077371,00,292,locomotor
1670077414,00,293,locomotor
1670077420,00,294,locomotor
1670077442,00,295,locomotor
1670077481,00,296,locomotor
1670077496,00,297,locomotor
1670077508,00,298,locomotor
1670077517,00,299,locomotor
1670077541,00,300,locomotor
1670077561,00,301,locomotor
1670077568,00,302,locomotor
1670077590,00,303,locomotor
1670077607,00,304,locomotor
1670077613,00,305,locomotor
1670077620,00,306,locomotor
1670077631,00,307,locomotor
1670077640,00,308,locomotor
1670077649,00,309,locomotor
1670077662,00,310,locomotor
1670077674,00,311,locomotor
1670077711,00,312,locomotor
1670077778,00,313,locomotor
1670077791,00,314,locomotor
1670077798,00,315,locomotor
1670077815,00,316,locomotor
1670077830,00,317,locomotor
1670077850,00,318,locomotor
1670077888,00,319,locomotor
1670077913,00,320,locomotor
1670077927,00,321,locomotor
1670077935,00,322,locomotor
1670077946,00,323,locomotor
1670077952,00,324,locomotor
1670077960,00,325,locomotor
1670077978,00,326,locomotor
1670078026,00,327,locomotor
1670078079,00,328,locomotor
1670078089,00,329,locomotor
1670078096,00,330,locomotor
1670078104,00,331,locomotor
1670078110,00,332,locomotor
1670078116,00,333,locomotor
1670078123,00,334,locomotor
1670078129,00,335,locomotor
1670078141,00,336,locomotor
1670078156,00,337,locomotor
1670078164,00,338,locomotor
1670078186,00,339,locomotor
1670078195,00,340,locomotor
1670078207,00,341,locomotor
1670078218,00,342,locomotor
1670078224,00,343,locomotor
1670078240,00,344,locomotor
1670078258,00,345,locomotor
1670078270,00,346,locomotor
1670078318,00,347,locomotor
1670078329,00,348,locomotor
1670078344,00,349,locomotor
1670078391,00,350,locomotor
1670078420,00,351,locomotor
1670078433,00,352,locomotor
1670078439,00,353,locomotor
1670078471,00,354,locomotor
1670078477,00,355,locomotor
1670078490,00,356,locomotor
1670078500,00,357,locomotor
1670078513,00,358,locomotor
1670078521,00,359,locomotor
1670078532,00,360,locomotor
1670078542,00,361,locomotor
1670078549,00,362,locomotor
1670078579,00,363,locomotor
1670078585,00,364,locomotor
1670078591,00,365,locomotor
1670078597,00,366,locomotor
1670078643,00,367,locomotor
1670078648,00,368,locomotor
1670078654,00,369,locomotor
1670078661,00,370,locomotor
1670078676,00,371,locomotor
1670078687,00,372,locomotor
1670078695,00,373,locomotor
1670078702,00,374,locomotor
1670078709,00,375,locomotor
1670078717,00,376,locomotor
1670078723,00,377,locomotor
1670078729,00,378,locomotor
1670078735,00,379,locomotor
1670078756,00,380,locomotor
1670078762,00,381,locomotor
1670078832,00,382,locomotor
1670078840,00,383,locomotor
1670078847,00,384,locomotor
1670078859,00,385,locomotor
1670078865,00,386,locomotor
1670078906,00,387,locomotor
1670078924,00,388,locomotor
1670078931,00,389,locomotor
1670078937,00,390,locomotor
1670079073,00,391,locomotor
1670079079,00,392,locomotor
1670079102,00,393,locomotor
1670079110,00,394,locomotor
1670079121,00,395,locomotor
1670079127,00,396,locomotor
1670079138,00,397,locomotor
1670079161,00,398,locomotor
1670079178,00,399,locomotor
1670079189,00,400,locomotor
1670079195,00,401,locomotor
1670079201,00,402,locomotor
1670079207,00,403,locomotor
1670079218,00,404,locomotor
1670079257,00,405,locomotor
1670079269,00,406,locomotor
1670079275,00,407,locomotor
1670079294,00,408,locomotor
1670079342,00,409,locomotor
1670079371,00,410,locomotor
1670079377,00,411,locomotor
1670079384,00,412,locomotor
1670079395,00,413,locomotor
1670079401,00,414,locomotor
1670079407,00,415,locomotor
1670079418,00,416,locomotor
1670079429,00,417,locomotor
1670079451,00,418,locomotor
1670079458,00,419,locomotor
1670079465,00,420,locomotor
