time,ID,count,protocol
1670160472,418,01,locomotor
1670164101,418,02,locomotor
1670164112,418,03,locomotor
1670164119,418,04,locomotor
1670164133,418,05,locomotor
1670164140,418,06,locomotor
1670164151,418,07,locomotor
1670164166,418,08,locomotor
1670164172,418,09,locomotor
1670164183,418,10,locomotor
1670164192,418,11,locomotor
1670164202,418,12,locomotor
1670164214,418,13,locomotor
1670164222,418,14,locomotor
1670164238,418,15,locomotor
1670164245,418,16,locomotor
1670164260,418,17,locomotor
1670164275,418,18,locomotor
1670164281,418,19,locomotor
1670164297,418,20,locomotor
1670164305,418,21,locomotor
1670164316,418,22,locomotor
1670164326,418,23,locomotor
1670164337,418,24,locomotor
1670164373,418,25,locomotor
1670164390,418,26,locomotor
1670164402,418,27,locomotor
1670164425,418,28,locomotor
1670164432,418,29,locomotor
1670164440,418,30,locomotor
1670164447,418,31,locomotor
1670164459,418,32,locomotor
1670164465,418,33,locomotor
1670164493,418,34,locomotor
1670164505,418,35,locomotor
1670164520,418,36,locomotor
1670164528,418,37,locomotor
1670164544,418,38,locomotor
1670164569,418,39,locomotor
1670164580,418,40,locomotor
1670164590,418,41,locomotor
1670164599,418,42,locomotor
1670164616,418,43,locomotor
1670164626,418,44,locomotor
1670164634,418,45,locomotor
1670164644,418,46,locomotor
1670164689,418,47,locomotor
1670164699,418,48,locomotor
1670164736,418,49,locomotor
1670164742,418,50,locomotor
1670164752,418,51,locomotor
1670164779,418,52,locomotor
1670164789,418,53,locomotor
1670164796,418,54,locomotor
1670164809,418,55,locomotor
1670164821,418,56,locomotor
1670164833,418,57,locomotor
1670164841,418,58,locomotor
1670164848,418,59,locomotor
1670164876,418,60,locomotor
1670164888,418,61,locomotor
1670164898,418,62,locomotor
1670164918,418,63,locomotor
1670164929,418,64,locomotor
1670164943,418,65,locomotor
1670164948,418,66,locomotor
1670164968,418,67,locomotor
1670164974,418,68,locomotor
1670165011,418,69,locomotor
1670165029,418,70,locomotor
