time,animal,pellets,motorTurns,battery,delay,protocol
1679327606,501,01,00,00,01,aclimatacion
1679328528,501,02,00,01,01,aclimatacion
1679334529,501,03,00,01,01,aclimatacion
1679334589,501,04,00,01,01,aclimatacion
1679335187,501,05,00,01,01,aclimatacion
1679343411,501,06,00,01,01,aclimatacion
1679343426,501,07,00,01,01,aclimatacion
1679343462,501,08,00,01,01,aclimatacion
1679348818,501,09,00,01,01,aclimatacion
1679348903,501,10,00,01,01,aclimatacion
1679352619,501,11,00,01,01,aclimatacion
1679400998,501,12,00,01,01,aclimatacion
1679401004,501,13,00,01,01,aclimatacion
1679401030,501,14,00,01,01,aclimatacion
1679416961,501,15,00,01,01,aclimatacion
1679417056,501,16,00,01,01,aclimatacion
1679417338,501,17,00,01,01,aclimatacion
1679417349,501,18,00,01,01,aclimatacion
1679421543,501,19,00,01,01,aclimatacion
1679421550,501,20,00,01,01,aclimatacion
1679421967,501,21,00,01,01,aclimatacion
1679421975,501,22,00,01,01,aclimatacion
1679422001,501,23,00,01,01,aclimatacion
1679422035,501,24,00,01,01,aclimatacion
1679422269,501,25,00,01,01,aclimatacion
1679423878,501,26,00,01,01,aclimatacion
1679424395,501,27,00,01,01,aclimatacion
1679428246,501,28,00,01,01,aclimatacion
1679428249,501,29,00,01,01,aclimatacion
1679429393,501,30,00,02,01,aclimatacion
946684806,501,01,00,04,01,aclimatacion
1679489036,501,01,00,00,01,aclimatacion
1679492650,501,02,00,04,01,aclimatacion
1679492655,501,03,00,04,01,aclimatacion
1679492665,501,04,00,04,01,aclimatacion
1679492818,501,05,00,04,01,aclimatacion
1679493823,501,06,00,04,01,aclimatacion
1679494144,501,07,00,04,01,aclimatacion
1679494597,501,08,00,04,01,aclimatacion
1679495171,501,09,00,04,01,aclimatacion
1679496030,501,10,00,04,01,aclimatacion
1679496751,501,11,00,04,01,aclimatacion
1679496764,501,12,00,04,01,aclimatacion
1679496807,501,13,00,04,01,aclimatacion
1679497573,501,14,00,04,01,aclimatacion
1679497667,501,15,00,04,01,aclimatacion
1679498304,501,16,00,04,01,aclimatacion
1679498311,501,17,00,04,01,aclimatacion
1679498380,501,18,00,04,01,aclimatacion
1679499565,501,19,00,04,01,aclimatacion
1679500505,501,20,00,04,01,aclimatacion
1679500511,501,21,00,04,01,aclimatacion
1679500529,501,22,00,04,01,aclimatacion
1679500546,501,23,00,04,01,aclimatacion
1679501013,501,24,00,04,01,aclimatacion
1679502100,501,25,00,04,01,aclimatacion
1679504779,501,26,00,04,01,aclimatacion
1679505534,501,27,00,04,01,aclimatacion
1679507527,501,28,00,04,01,aclimatacion
1679507545,501,29,00,04,01,aclimatacion
1679507564,501,30,00,04,01,aclimatacion
1679507609,501,31,00,04,01,aclimatacion
1679507615,501,32,00,04,01,aclimatacion
1679507642,501,33,00,04,01,aclimatacion
1679507650,501,34,00,04,01,aclimatacion
1679507665,501,35,00,04,01,aclimatacion
1679508854,501,36,00,04,01,aclimatacion
1679509032,501,37,00,04,01,aclimatacion
1679509671,501,38,00,04,01,aclimatacion
1679509682,501,39,00,04,01,aclimatacion
1679510498,501,40,00,04,01,aclimatacion
